date hr pm10 delta power
20030507 23.5 68.0 -45.0 3.8085106383
20030624 20.5 69.0 -34.0 0.658536585366
20030718 22.58 45.0 -25.0 2.59078830824
20030722 23.45 57.0 -28.0 7.3987206823
20030823 20.07 35.0 -11.0 3.76183358246
20030824 21.0 24.0 -8.0 8.42857142857
20040503 20.58 43.0 -6.0 0.801749271137
20040509 21.42 135.0 -74.0 1.40056022409
20040619 20.63 79.0 -32.0 4.0717401842
20040704 21.35 84.0 -72.0 2.90398126464
20040707 20.83 92.0 -44.0 1.51224195871
20040712 21.92 104.0 -29.0 3.19343065693
20050825 21.87 13.0 -3.0 1.76040237769
20050930 21.2 28.0 -7.0 4.92924528302
20060712 22.17 32.0 -8.0 10.2165087957
20060716 21.35 42.0 -22.0 11.2880562061
20060727 21.0 45.0 -19.0 9.28571428571
20070302 22.33 61.0 -18.0 0.985221674877
20070701 21.55 56.0 -39.0 1.43851508121
20080323 24.0 61.0 -36.0 1.14583333333
20080724 21.75 103.0 -76.0 5.86206896552
20090511 21.8 56.0 -13.0 1.67431192661
20090516 23.23 97.0 -74.0 0.925527335342
20090714 20.97 21.0 -11.0 6.70004768717
20100120 21.15 98.0 -28.0 0.330969267139
20100612 22.17 51.0 -26.0 3.20252593595
20100717 20.42 27.0 -17.0 4.38295788443
20100910 21.25 22.0 -8.0 3.50588235294
20110227 21.83 48.0 -24.0 1.30554283097
20110623 22.33 33.0 -13.0 1.83609493954
20110624 20.0 20.0 -5.0 0.525
20110711 20.25 19.0 -9.0 2.0987654321
20110727 23.5 34.0 -25.0 12.829787234
20120422 21.5 13.0 -4.0 0.418604651163
20120715 23.75 11.0 -5.0 1.36842105263
20120820 20.75 15.0 -6.0 2.86746987952
20120830 20.67 41.0 -8.0 1.66908563135
20130121 20.25 108.0 -76.0 0.814814814815
20130406 20.83 151.0 -91.0 0.672107537206
20130712 20.0 37.0 -14.0 3.7
20140427 20.0 55.0 -30.0 0.425
20140428 23.58 25.0 -13.0 0.572519083969
20150216 23.5 78.0 -37.0 0.446808510638
20150414 21.42 26.0 -7.0 0.490196078431
20150712 24.0 22.0 -14.0 1.20833333333
20151107 24.0 52.0 -42.0 1.02083333333
20151108 22.67 10.0 -5.0 0.463167181297
20160716 22.25 18.0 -8.0 2.08988764045
