date hr pm10 delta power wind
20030507 23.5 80.0 -54.0 3.8085106383 2.7
20030624 20.5 96.0 -49.0 0.658536585366 4.2
20030718 22.58 67.0 -44.0 2.59078830824 2.4
20030722 23.45 85.0 -48.0 7.3987206823 1.7
20030823 20.07 37.0 -6.0 3.76183358246 2.7
20030824 21.0 31.0 -15.0 8.42857142857 1.9
20040503 20.58 45.0 -13.0 0.801749271137 2.7
20040509 21.42 128.0 -78.0 1.40056022409 3.3
20040619 20.63 69.0 -30.0 4.0717401842 2.3
20040704 21.35 86.0 -73.0 2.90398126464 4.5
20040707 20.83 104.0 -56.0 1.51224195871 1.8
20040712 21.92 126.0 -13.0 3.19343065693 3.0
20050825 21.87 12.0 -2.0 1.76040237769 3.2
20050930 21.2 32.0 -12.0 4.92924528302 2.3
20060712 22.17 25.0 -9.0 10.2165087957 3.0
20060716 21.35 34.0 -22.0 11.2880562061 1.9
20060727 21.0 35.0 -17.0 9.28571428571 2.5
20070302 22.33 53.0 -21.0 0.985221674877 2.6
20070701 21.55 55.0 -43.0 1.43851508121 3.9
20080323 24.0 60.0 -35.0 1.14583333333 1.9
20080618 20.2 23.0 -3.0 2.27722772277 3.4
20080724 21.75 97.0 -72.0 5.86206896552 2.7
20080822 20.43 14.0 -1.0 3.54870288791 4.1
20090511 21.8 58.0 -10.0 1.67431192661 1.5
20090516 23.23 97.0 -65.0 0.925527335342 2.6
20090714 20.97 25.0 -8.0 6.70004768717 4.9
20100120 21.15 90.0 -24.0 0.330969267139 1.7
20100612 22.17 54.0 -21.0 3.20252593595 2.5
20100717 20.42 38.0 -15.0 4.38295788443 2.6
20100910 21.25 23.0 -1.0 3.50588235294 4.5
20110227 21.83 45.0 -8.0 1.30554283097 6.2
20110623 22.33 32.0 -14.0 1.83609493954 4.6
20110624 20.0 18.0 -7.0 0.525 2.9
20110711 20.25 19.0 -9.0 2.0987654321 2.1
20110727 23.5 32.0 -22.0 12.829787234 2.6
20120422 21.5 11.0 -2.0 0.418604651163 5.2
20120715 23.75 11.0 -2.0 1.36842105263 4.4
20120820 20.75 14.0 -3.0 2.86746987952 4.1
20120830 20.67 43.0 -12.0 1.66908563135 3.3
20130121 20.25 106.0 -75.0 0.814814814815 4.3
20130406 20.83 154.0 -94.0 0.672107537206 2.9
20130712 20.0 38.0 -14.0 3.7 4.9
20140427 20.0 48.0 -26.0 0.425 2.3
20140428 23.58 22.0 -10.0 0.572519083969 4.6
20150216 23.5 88.0 -40.0 0.446808510638 3.5
20150414 21.42 29.0 -10.0 0.490196078431 2.7
20150712 24.0 30.0 -16.0 1.20833333333 4.0
20151107 24.0 51.0 -41.0 1.02083333333 6.0
20151108 22.67 10.0 -6.0 0.463167181297 5.2
20160716 22.25 16.0 -8.0 2.08988764045 3.5
